cellpath,celllabel,N,category,group
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Flush: PICC Brachial ,CL Flush: PICC Brachial ,127,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Flush: PICC Brachial L,CL Flush: PICC Brachial L,115,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Flush: PICC Brachial L 5f,CL Flush: PICC Brachial L 5f,173,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Flush: PICC Brachial R,CL Flush: PICC Brachial R,431,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Flush: PICC Double,CL Flush: PICC Double,167,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Flush: PICC L,CL Flush: PICC L,273,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Flush: PICC R,CL Flush: PICC R,636,,
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Flush: PICC, Coated Catheter, Pressure/Power in","CL Flush: PICC, Coated Catheter, Pressure/Power in",143,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Flush: Pressure inj IJ R,CL Flush: Pressure inj IJ R,130,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Flush: Pressure inj IJ R 7Fr 16cm,CL Flush: Pressure inj IJ R 7Fr 16cm,139,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Flush: Pressure/power inj IJ ,CL Flush: Pressure/power inj IJ ,138,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Flush: Pressure/power inj IJ L,CL Flush: Pressure/power inj IJ L,135,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Flush: Pressure/power inj IJ R,CL Flush: Pressure/power inj IJ R,871,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Flush: Pressure/power inj IJ R 7Fr 16cm,CL Flush: Pressure/power inj IJ R 7Fr 16cm,121,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Flush: Pressure/Power inj Periph. Inserted Cent,CL Flush: Pressure/Power inj Periph. Inserted Cent,7070,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Flush: Pressure/power inj Subclavian L,CL Flush: Pressure/power inj Subclavian L,261,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Flush: Pressure/power inj Subclavian R,CL Flush: Pressure/power inj Subclavian R,110,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Flush: R,CL Flush: R,140,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Flush: Subclavian L,CL Flush: Subclavian L,388,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Flush: Subclavian R,CL Flush: Subclavian R,340,,
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Flush: Tunneled (other than dialysis), Pressure","CL Flush: Tunneled (other than dialysis), Pressure",220,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Flush: Tunneled IJ R,CL Flush: Tunneled IJ R,144,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Hemo Total Flush,CL Hemo Total Flush,727,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL Hemo Total Flush 2,CL Hemo Total Flush 2,159,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL PICC Total Lumen Flushes,CL PICC Total Lumen Flushes,4562,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CL PICC Total Lumen Flushes 2,CL PICC Total Lumen Flushes 2,594,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CO,CO,1586,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CO ,CO ,195,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Contrast amount,Contrast amount,744,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CRRT flush,CRRT flush,121,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|CRRT FLUSH,CRRT FLUSH,265,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|D10W,D10W,8954,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|D20W,D20W,590,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|D5 1/2 NS Volume,D5 1/2 NS Volume,225,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|D5 1/2 NS w/KCl 20mEq Volume,D5 1/2 NS w/KCl 20mEq Volume,492,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|D5 1/2NS,D5 1/2NS,425,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|D5 1/2NS + KCL,D5 1/2NS + KCL,313,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|D5 LR Volume,D5 LR Volume,108,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|D5 NS,D5 NS,336,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|D51/2NS IVF,D51/2NS IVF,56182,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|D51/4NS IVF,D51/4NS IVF,820,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|D5LR IVF,D5LR IVF,1565,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|D5NS + KCL,D5NS + KCL,119,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|D5NS IVF,D5NS IVF,22948,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|D5NS Volume,D5NS Volume,321,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|D5W,D5W,32424,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|D5W + ADD,D5W + ADD,296,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|DEXMEDETOMIDINE,DEXMEDETOMIDINE,560,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|DEXmedetomidine (ml):,DEXmedetomidine (ml):,1122,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Dilaudid drip,Dilaudid drip,120,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|DILTIAZEM,DILTIAZEM,318,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|DIPI,DIPI,112,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|diprivan,diprivan,871,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|DIPRIVAN,DIPRIVAN,969,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Diprivan,Diprivan,1238,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|DiPRivan,DiPRivan,125,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Diprivan drip,Diprivan drip,251,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Dobutrex,Dobutrex,277,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Electrolyte Other (volume),Electrolyte Other (volume),13994,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Epi,Epi,108,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|EPI,EPI,116,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|epidural,epidural,557,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Epidural,Epidural,760,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|EPINEPHRINE,EPINEPHRINE,184,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Epinephrine,Epinephrine,412,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|epinephrine,epinephrine,117,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|EPInephrine (ml):,EPInephrine (ml):,261,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Epinephrine drip,Epinephrine drip,166,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|EPTIFIBATIDE,EPTIFIBATIDE,238,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Esmolol,Esmolol,344,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|ESMOLOL,ESMOLOL,138,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Feeding Tube Flush/Water Bolus Amt (mL),Feeding Tube Flush/Water Bolus Amt (mL),27318,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|FENTANYL,FENTANYL,2896,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|fentanyl,fentanyl,2620,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Fentanyl,Fentanyl,5126,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|FENTANYL ,FENTANYL ,182,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Fentanyl drip,Fentanyl drip,306,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|fentanyl drip,fentanyl drip,125,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Fentanyl gtt ,Fentanyl gtt ,219,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Fentanyl PCA Volume,Fentanyl PCA Volume,652,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|fibersource,fibersource,205,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Fibersource ,Fibersource ,124,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|flagyl,flagyl,130,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Flagyl,Flagyl,155,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Flush Total,Flush Total,13691,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Flush Volume In               ml,Flush Volume In               ml,15252,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Flush:,Flush:,102,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Formula Volume In         ml,Formula Volume In         ml,18776,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Free H2O,Free H2O,131,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Free Water,Free Water,4621,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Free water,Free water,118,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|FREE WATER,FREE WATER,220,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|free water,free water,227,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Gastric Tube Amount of Irrigant,Gastric Tube Amount of Irrigant,608,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Gastric Tube Intake,Gastric Tube Intake,1925,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|generic,generic,127,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Generic,Generic,134,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|GT Meds,GT Meds,108,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Hemodialysis Intake (mL),Hemodialysis Intake (mL),867,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|HEPARIN,HEPARIN,2107,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Heparin,Heparin,1868,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|heparin,heparin,1900,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|heparin ,heparin ,194,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|HEPARIN DRIP,HEPARIN DRIP,644,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Heparin Drip,Heparin Drip,346,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|heparin drip,heparin drip,211,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Heparin drip,Heparin drip,154,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Heparin gtt,Heparin gtt,185,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|I.V.,I.V.,38224,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|impella,impella,194,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Intake,Intake,414,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|intake,intake,535,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Intake (mL)-[REMOVED] NG/OG Tube Nasogastric Left nostril,Intake (mL)-[REMOVED] NG/OG Tube Nasogastric Left nostril,105,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Intake (mL)-[REMOVED] NG/OG Tube Nasogastric Right nostril,Intake (mL)-[REMOVED] NG/OG Tube Nasogastric Right nostril,109,,
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Intake, IV Amount","Intake, IV Amount",3625,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Intercostal epidural ,Intercostal epidural ,112,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|IV,IV,2310,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|IV Antibiotics_c,IV Antibiotics_c,780,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|IV Intake Amount,IV Intake Amount,5321,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|IV Medication_c,IV Medication_c,173,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|IV/IVPB:,IV/IVPB:,828,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|IVPB,IVPB,209747,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|IVPB Volume (ml),IVPB Volume (ml),27225,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|J Tube flush/ meds,J Tube flush/ meds,123,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|k. phos,k. phos,137,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|KCL,KCL,353,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|kcl,kcl,105,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|KEPPRA,KEPPRA,130,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|keppra,keppra,144,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Keppra,Keppra,149,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Lactated Ringers Volume,Lactated Ringers Volume,574,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Lasix,Lasix,276,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Levo,Levo,612,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|LEVO,LEVO,532,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|levo,levo,179,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|LEVOPHED,LEVOPHED,2603,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|levophed,levophed,3017,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Levophed,Levophed,5308,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|LEvophed,LEvophed,135,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|LEVophed (ml):,LEVophed (ml):,1178,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|LEVOPHED DRIP,LEVOPHED DRIP,161,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|levophed drip,levophed drip,399,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Levophed drip,Levophed drip,355,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Levophed gtt,Levophed gtt,172,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Lido,Lido,188,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|lipds,lipds,114,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Lipids,Lipids,9372,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Lorazepam Volume,Lorazepam Volume,650,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|LR,LR,159,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|LR IVF,LR IVF,23285,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Magnesium,Magnesium,240,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|magnesium,magnesium,186,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|MAGNESIUM,MAGNESIUM,112,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Maxipime,Maxipime,105,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|merrem,merrem,216,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Merrem,Merrem,206,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|MERREM,MERREM,184,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|MIDAZOLAM,MIDAZOLAM,263,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|milrinone,milrinone,456,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Milrinone,Milrinone,498,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|MILrinone (ml):,MILrinone (ml):,161,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Misc.,Misc.,5942,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Miscellaneous IV Other (volume),Miscellaneous IV Other (volume),8323,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Morphine,Morphine,147,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Nasogastric Tube - Intake,Nasogastric Tube - Intake,260,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Neo,Neo,694,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NEO,NEO,310,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|neosynephrine,neosynephrine,328,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NEOSYNEPHRINE,NEOSYNEPHRINE,344,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Neosynephrine,Neosynephrine,595,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NEOsynephrine (ml):,NEOsynephrine (ml):,637,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NEXIUM,NEXIUM,104,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NGT Flush,NGT Flush,104,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NICARDIPINE,NICARDIPINE,323,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Nimbex,Nimbex,1209,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NIMBEX,NIMBEX,247,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NIMBEX DRIP,NIMBEX DRIP,149,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Nitroglycerin,Nitroglycerin,270,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NITROGLYCERIN,NITROGLYCERIN,359,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NITroglycerine (ml):,NITroglycerine (ml):,140,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Norepinephrine,Norepinephrine,390,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NOREPINEPHRINE,NOREPINEPHRINE,1600,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NS,NS,5733,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NS + ADD,NS + ADD,743,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NS + KCL,NS + KCL,353,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NS 0.9% Volume,NS 0.9% Volume,3334,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NS b IVF,NS b IVF,29966,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NS c IVF,NS c IVF,2054,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NS d IVF,NS d IVF,143,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NS e IVF,NS e IVF,124,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NS for Blood Administration,NS for Blood Administration,726,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NS IVF,NS IVF,392469,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NS w/KCl 20mEq Volume,NS w/KCl 20mEq Volume,448,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|NTG,NTG,299,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Ofirmev,Ofirmev,142,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|OGT,OGT,332,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|OGT flush,OGT flush,125,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|OGT Flush,OGT Flush,149,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Other,Other,1950,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Other In,Other In,399,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|OthrIntakeTotal,OthrIntakeTotal,6917,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|P.O.,P.O.,383997,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|P.O. Intake,P.O. Intake,100483,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Per IV Flush: Antecubital L,Per IV Flush: Antecubital L,1186,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Per IV Flush: Antecubital L 16 gauge,Per IV Flush: Antecubital L 16 gauge,353,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Per IV Flush: Antecubital L 18 gauge,Per IV Flush: Antecubital L 18 gauge,6380,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Per IV Flush: Antecubital L 20 gauge,Per IV Flush: Antecubital L 20 gauge,9683,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Per IV Flush: Antecubital L 22 gauge,Per IV Flush: Antecubital L 22 gauge,379,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Per IV Flush: Antecubital R,Per IV Flush: Antecubital R,1223,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Per IV Flush: Antecubital R 16 gauge,Per IV Flush: Antecubital R 16 gauge,300,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Per IV Flush: Antecubital R 18 gauge,Per IV Flush: Antecubital R 18 gauge,6926,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Per IV Flush: Antecubital R 20 gauge,Per IV Flush: Antecubital R 20 gauge,10500,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Per IV Flush: Antecubital R 22 gauge,Per IV Flush: Antecubital R 22 gauge,343,,
