treatmentstring,n,category,group
surgery|wounds / temperature|active warming|forced air warming,126,,
cardiovascular|hypertension|minoxidil,126,,
pulmonary|surgery / incision and drainage of thorax|tracheostomy|performed during current admission for Head and Neck surgery|permanent,126,,
hematology|transplant and immunology|immunosuppressives|tacrolimus,125,,
cardiovascular|myocardial ischemia / infarction|antiplatelet agent|dipyridamole,125,,
burns/trauma|trauma|splinting|orthopedic device,125,,
surgery|infection|prophylactic antibacterials|for surgery|penicillins,124,,
cardiovascular|non-operative procedures|non-cardiac angiography|angiography of cervicocerebral arteries,124,,
cardiovascular|vascular disorders|VTE prophylaxis|factor Xa Inhibitor|fondaparinux,124,,
gastrointestinal|endoscopy/gastric instrumentation|esophagogastroduodenoscopy|with destruction of lesion,123,,
cardiovascular|myocardial ischemia / infarction|antihyperlipidemic agent|bile sequestrant|cholestyramine,123,,
surgery|nutrition|enteral feeds,123,enteral-nonspecific-intake,nutrition-enteral
cardiovascular|non-operative procedures|cardiac nuclear study|for ischemia,122,,
hematology|transplant and immunology|IVIG administration,122,,
pulmonary|ventilation and oxygenation|oxygen therapy (40% to 60%)|non-rebreather mask,121,,
pulmonary|vascular disorders|anticoagulant administration|coumadin,121,,
pulmonary|medications|analgesics|transdermal analgesics,121,,
cardiovascular|arrhythmias|beta blocker|sotalol,120,,
infectious diseases|medications|pneumocystis therapy|bactrim,120,,
surgery|consultations|Opthalmology consultation,120,,
endocrine|pituitary and temperature regulation|active external rewarming|forced air warming,119,,
neurologic|neuromyopathy therapy|systemic glucocorticoid|oral,118,,
cardiovascular|arrhythmias|anticoagulant administration|thrombin inhibitor|argatroban,118,,
burns/trauma|intravenous fluids|blood product administration|platelet concentrate,118,,
pulmonary|ventilation and oxygenation|oxygen therapy (> 60%)|trach collar,117,,
renal|urinary catheters|nephrostomy,117,,
surgery|cardiac therapies|vasopressors|epinephrine > 0.1 micrograms/kg/min,117,,
pulmonary|medications|antibacterials|fourth generation cephalosporin,117,,
surgery|infection|therapeutic antibacterials|carbapenem|meropenem,116,,
pulmonary|medications|neuromuscular blocking agent|atracurium,116,,
cardiovascular|non-operative procedures|cardiac angiography|with atherectomy,115,,
cardiovascular|non-operative procedures|non-cardiac angiography|cerebral arteriogram,115,,
"gastrointestinal|radiology, diagnostic and procedures|MRI|abdomen",115,,
cardiovascular|hypertension|analgesics|oral analgesics,115,,
neurologic|therapy for controlling cerebral perfusion pressure|neuromuscular blocking agent,115,,
toxicology|drug overdose|agent specific therapy|beta blockers overdose|atropine,115,,
neurologic|ICH/ cerebral infarct|anticonvulsants|valproate,114,,
cardiovascular|arrhythmias|antiarrhythmics|class I antiarrhythmic|mexiletine,114,,
surgery|cardiac therapies|beta blocker|metoprolol,114,,
pulmonary|vascular disorders|thrombolytic agent|alteplase,114,,
cardiovascular|hypertension|analgesics|continuous parenteral analgesics,114,,
burns/trauma|intravenous fluids|blood product administration,113,,
cardiovascular|other therapies|antibacterials|linezolid (Zyvox),112,,
pulmonary|radiologic procedures / bronchoscopy|bronchoscopy|with biopsy of bronchus,112,,
hematology|oncological issues|chemotherapy,112,,
neurologic|ICH/ cerebral infarct|anticonvulsants|phenobarbital,112,,
neurologic|ICH/ cerebral infarct|antihypertensives|esmolol,112,,
neurologic|neuromyopathy therapy|reversal of neuromuscular blockade,112,,
renal|electrolyte correction|electrolyte administration|hypertonic saline,111,,
pulmonary|medications|sedative|diazepam,110,,
pulmonary|medications|antibacterials|macrolide,110,,
gastrointestinal|endoscopy/gastric instrumentation|nasogastric lavage,109,,
pulmonary|radiologic procedures / bronchoscopy|bronchoscopy|with transbronchial lung biopsy,109,,
surgery|tubes and catheters|feeding tube|jejunal,109,,
gastrointestinal|medications|stress ulcer treatment|lansoprazole,108,,
oncology|medications|analgesics|bolus parenteral analgesics,108,,
cardiovascular|arrhythmias|beta blocker|propranolol,107,,
infectious diseases|medications|therapeutic antibacterials|penicillins|amoxicillin,107,,
burns/trauma|intravenous fluids|normal saline administration|moderate volume resuscitation (150-250 mls/hr),107,,
renal|medications|glucocorticoid administration|oral,106,,
infectious diseases|procedures|CT scan|with contrast,106,,
surgery|cardiac therapies|vasodilator|hydralazine,106,,
cardiovascular|cardiac surgery|valve replacement or repair|emergent,106,,
infectious diseases|medications|antimycobacterial therapy|MTB|rifampin,106,,
neurologic|procedures / diagnostics|brain biopsy,105,,
pulmonary|medications|antibacterials|aminoglycoside|tobramycin,105,,
gastrointestinal|intravenous fluid administration|blood product administration|cryoprecipitate,104,,
infectious diseases|procedures|CT scan|without contrast,104,,
oncology|procedures|bone marrow biopsy,104,,
renal|intravenous fluid|blood product administration|packed red blood cells|transfusion of 1-2 units prbc's,104,,
surgery|infection|cultures|sputum,104,,
neurologic|ICH/ cerebral infarct|intravenous diuretic|bumetanide,104,,
infectious diseases|medications|systemic glucocorticoid|stress doses,103,,
gastrointestinal|medications|diuretic,103,,
burns/trauma|trauma|angiography|arteriography,103,,
gastrointestinal|medications|diuretic|spironolactone,102,,
cardiovascular|arrhythmias|maze procedure,102,,
gastrointestinal|nutrition|prokinetic agent|metoclopramide,102,,
surgery|tubes and catheters|surgical drains|Penrose,101,,
hematology|transplant and immunology|immunosuppressives|mycophenolate,101,,
hematology|coagulation and platelets|plasmapheresis|plasma exchange,100,,
cardiovascular|hypertension|ACE inhibitor|captopril,99,,
hematology|transplant and immunology|immunosuppressives,98,,
gastrointestinal|medications|stress ulcer treatment|antacids,98,,
cardiovascular|hypertension|beta blocker|sotalol,98,,
neurologic|therapy for controlling cerebral perfusion pressure|antihypertensive drug|beta blocker,98,,
pulmonary|vascular disorders|pulmonary ventilation perfusion study,97,,
burns/trauma|trauma|angiography,97,,
pulmonary|medications|antibacterials|penicillins|piperacillin,97,,
neurologic|ICH/ cerebral infarct|mannitol|bolus .25-.5 gms/kg,97,,
endocrine|pituitary and temperature regulation|active external rewarming,96,,
infectious diseases|medications|therapeutic antibacterials|second generation cephalosporin|cefoxitin,96,,
infectious diseases|medications|therapeutic antibacterials|first generation cephalosporin|cephalexin,96,,
renal|medications|glucocorticoid administration|parenteral,96,,
surgery|cardiac therapies|vasodilator|labetalol,96,,
cardiovascular|arrhythmias|anticoagulant administration|thrombin inhibitor|bivalirudin,96,,
neurologic|pain / agitation / altered mentation|antidepressant|nortriptyline,96,,
cardiovascular|myocardial ischemia / infarction|glycoprotein IIB/IIIA inhibitor|tirofiban,96,,
cardiovascular|other therapies|antibacterials|second generation cephalosporin|cefuroxime,95,,
cardiovascular|myocardial ischemia / infarction|analgesics|non-narcotic analgesic,95,,
burns/trauma|skin care|systemic glucocorticoid,95,,
neurologic|ICH/ cerebral infarct|anticoagulant administration|low molecular weight heparin,95,,
pulmonary|medications|antibacterials|carbapenem,95,,
endocrine|electrolyte correction|treatment of hyponatremia|isotonic fluid,94,,
endocrine|intravenous fluid administration|hypotonic fluid administration|D5W,94,,
surgery|nutrition|feeding tube|nasogastric,94,enteral-nonspecific-intake,nutrition-enteral
neurologic|neuromyopathy therapy|reversal of neuromuscular blockade|pyridostigmine,94,,
neurologic|ICH/ cerebral infarct|oral diuretic|furosemide,93,,
cardiovascular|ventricular dysfunction|intravenous diuretic|chlorothiazide,93,,
burns/trauma|intravenous fluids|blood product administration|packed red blood cells|transfusion of 1-2 units prbc's,93,,
surgery|glucose control|insulin|subcutaneous dose of longer-acting insulin prepara,93,insulin,insulin
cardiovascular|hypertension|ACE inhibitor|enalapril|oral,93,,
surgery|tubes and catheters|feeding tube|PEG,93,,
surgery|cardiac therapies|inotropic agent|dopamine  5-15 micrograms/kg/min,93,,
renal|urinary catheters|ureteral stenting|left,92,,
renal|medications|antifungal therapy|fluconazole,92,,
toxicology|drug overdose|agent specific therapy|acetaminophen overdose|serotonin antagonists|ondansetron,92,,
pulmonary|medications|antibacterials|carbapenem|imipenem-cilastatin,92,,
renal|medications|analgesics|non-narcotic analgesic|acetaminophen,92,,
transplant|consultations|Cardiology consultation,92,,
surgery|glucose control|insulin|subcutaneous dose of regular insulin,91,insulin,insulin
pulmonary|vascular disorders|VTE prophylaxis|coumadin,91,,
surgery|GI therapies|stress ulcer prophylaxis|proton pump inhibitor|esomeprazole,90,,
surgery|wounds / temperature|antipyretics|NSAID,90,,
cardiovascular|non-operative procedures|non-cardiac angiography|pulmonary angiography,90,,
toxicology|drug overdose|agent specific therapy|salicylate overdose/toxicity|sodium bicarbonate,90,,
cardiovascular|ventricular dysfunction|angiotensin II receptor blocker (ARB)|valsartan,89,,
hematology|oncological issues|bone marrow biopsy,89,,
neurologic|procedures / diagnostics|intracranial/cerebral perfusion pressure monitoring|subarachnoid bolt,89,,
surgery|infection|therapeutic antibacterials|carbapenem|ertapenem,89,,
hematology|transplant and immunology|hematopoietic growth factors|filgrastim (Neupogen),89,,
cardiovascular|cardiac surgery|implantation of BIVAD,89,,
cardiovascular|ventricular dysfunction|angiotensin II receptor blocker (ARB)|losartan,88,,
gastrointestinal|medications|antidiarrhea agent|diphenoxylate & atropine,88,,
cardiovascular|myocardial ischemia / infarction|analgesics|non-narcotic analgesic|ibuprofen,88,,
pulmonary|medications|analgesics|non-narcotic analgesic|ketorolac,88,,
cardiovascular|hypertension|angiotensin II receptor blocker (ARB)|olmesartan,88,,
cardiovascular|cardiac surgery|thrombectomy,88,,
gastrointestinal|nutrition|prokinetic agent,88,,
cardiovascular|arrhythmias|antiarrhythmics|class I antiarrhythmic,88,,
pulmonary|medications|bronchodilator|parenteral,87,,
pulmonary|ventilation and oxygenation|continuous lateral rotation therapy,87,,
endocrine|electrolyte correction|administration of electrolytes|hypertonic saline,87,,
cardiovascular|shock|blood product administration|cryoprecipitate,87,,
toxicology|drug overdose|mechanical ventilation|assist controlled,86,,
cardiovascular|ventricular dysfunction|inotropic agent|dopamine >15 micrograms/kg/min,86,,
cardiovascular|vascular surgery|dialysis access surgery,86,,
renal|medications|immunosuppressive therapy|mycophenolate mofetil,85,,
gastrointestinal|medications|analgesics|non-narcotic analgesic|ketorolac,85,,
cardiovascular|vascular disorders|pulmonary ventilation perfusion study,85,,
gastrointestinal|intravenous fluid administration|hypotonic fluid administration|D5W,85,,
cardiovascular|non-operative procedures|pericardiocentesis|initial,85,,
toxicology|drug overdose|agent specific therapy|beta blockers overdose|epinephrine,85,,
renal|electrolyte correction|treatment of hypercalcemia|bisphosphonates|pamidronate,85,,
neurologic|ICH/ cerebral infarct|anticonvulsants|fosphenytoin,84,,
cardiovascular|other therapies|antibacterials|quinolone|ciprofloxacin,84,,
renal|urinary catheters|ureteral stenting|right,84,,
renal|intravenous fluid|blood product administration|packed red blood cells|transfusion of > 2 units prbc's,83,,
surgery|pulmonary therapies|ventilator weaning|active,83,,
renal|medications|analgesics|oral analgesics,83,,
cardiovascular|arrhythmias|anticoagulant administration|factor Xa inhibitor,83,,
gastrointestinal|medications|analgesics|non-narcotic analgesic,83,,
infectious diseases|medications|antiretrovirals (HIV)|nucleoside reverse transcriptase inhibitors|tenofovir,83,,
surgery|pulmonary therapies|bronchodilator|nebulized,83,,
neurologic|neuromyopathy therapy|anticholinergic agent,83,,
surgery|cardiac therapies|calcium channel blocker|diltiazem,83,,
surgery|analgesics /sedatives/ nmbs|sedative agent|diazepam,82,,
renal|intravenous fluid|blood product administration|packed red blood cells,82,,
hematology|coagulation and platelets|blood product administration|coagulation factors,82,,
oncology|medications|analgesics|non-narcotoc analgesic|acetaminophen,81,,
surgery|tubes and catheters|feeding tube|gastrostomy,81,,
neurologic|pain / agitation / altered mentation|antidepressant|doxepin,81,,
pulmonary|radiologic procedures / bronchoscopy|bronchoscopy|with foreign body removal,81,,
gastrointestinal|medications|antibiotics|carbapenem,81,,
infectious diseases|medications|therapeutic antibacterials|penicillins|amoxicillin/potassium clavulanate,81,,
endocrine|thyroid disorder|glucocorticoids|dexamethasone,81,,
burns/trauma|burns|analgesics|continuous parenteral analgesics,81,,
endocrine|thyroid disorder|subtotal thyroidectomy,81,,
infectious diseases|procedures|vascular catheter - removal,80,,
endocrine|intravenous fluid administration|Lactated Ringer's administration,80,,
cardiovascular|myocardial ischemia / infarction|anticoagulant administration|factor Xa inhibitor,80,,
surgery|intravenous fluids / electrolytes|hypotonic fluid administration|D5W,80,,
cardiovascular|ventricular dysfunction|alpha/beta blocker,80,,
neurologic|ICH/ cerebral infarct|intravenous diuretic,80,,
burns/trauma|skin care|topical glucocorticoids,80,,
neurologic|pain / agitation / altered mentation|sedative agent|barbiturate,80,,
surgery|infection|therapeutic antibacterials|second generation cephalosporin|cefoxitin,79,,
infectious diseases|medications|prophylactic antibacterials|for surgery|penicillins,79,,
cardiovascular|intravenous fluid|colloid administration|hydroxyethylstarch,79,,
renal|medications|analgesics|bolus parenteral analgesics,79,,
hematology|oncological issues|CT scan|chest,79,,
gastrointestinal|medications|immunoregulatory agents|methotrexate,79,,
neurologic|ICH/ cerebral infarct|surgery|carotid stenting,79,,
pulmonary|medications|antibacterials|penicillins|ampicillin/sulbactam,78,,
toxicology|drug overdose|agent specific therapy|tricyclic overdose|sodium bicarbonate,78,,
cardiovascular|arrhythmias|antiarrhythmics|class I antiarrhythmic|propafenone,78,,
surgery|pulmonary therapies|bronchodilator|beta-agonist|levalbuterol (Xopenex),78,,
renal|intravenous fluid|blood product administration|fresh frozen plasma,78,,
cardiovascular|arrhythmias|antiarrhythmics|class III antiarrhythmic|dofetilide,77,,
surgery|analgesics /sedatives/ nmbs|analgesics|non-narcotic analgesic|ibuprofen,77,,
cardiovascular|other therapies|antibacterials|clindamycin,77,,
infectious diseases|medications|prophylactic antibacterials|for endocarditis|metronidazole,77,,
cardiovascular|other therapies|antibacterials|penicillins|nafcillin,77,,
endocrine|electrolyte correction|treatment of hyponatremia|fluid restriction,77,,
cardiovascular|arrhythmias|antiarrhythmics|class II antiarrhythmic|propranolol,76,,
pulmonary|medications|analgesics|neuraxial analgesics,76,,
neurologic|procedures / diagnostics|neurosurgery|carotid endarterectomy,76,,
neurologic|ICH/ cerebral infarct|angiogram|with infusion of vasodilator,76,,
surgery|infection|therapeutic antibacterials|quinolone|ciprofloxacin,75,,
cardiovascular|non-operative procedures|non-cardiac angiography|venogram,75,,
cardiovascular|myocardial ischemia / infarction|ACE inhibitor|enalapril,75,,
pulmonary|medications|antibacterials|sulfonamide|trimethoprim-sulfamethoxazole,75,,
pulmonary|medications|sedative|haloperidol,75,,
transplant|consultations|Pulmonary medicine consultation,75,,
cardiovascular|ventricular dysfunction|beta blocker|esmolol,75,,
surgery|nutrition|feeding tube,75,enteral-nonspecific-intake,nutrition-enteral
endocrine|adrenal disorders|normal saline administration,75,,
renal|procedures/radiology|kidney stone procedure|transurethral,74,,
infectious diseases|medications|antiviral therapy|amantadine,74,,
surgery|pulmonary therapies|mechanical ventilation|volume controlled,74,,
cardiovascular|non-operative procedures|cardioversion|chemical,74,,
surgery|GI therapies|stress ulcer prophylaxis|ranitidine,74,,
"gastrointestinal|radiology, diagnostic and procedures|CT scan|guidance for aspiration or drainage",73,,
gastrointestinal|endoscopy/gastric instrumentation|fiberoptic colonoscopy|with biopsy,73,,
pulmonary|medications|antibacterials|third generation cephalosporin,73,,
neurologic|procedures / diagnostics|neurosurgery|resection of AVM,73,,
gastrointestinal|medications|antiemetic|serotonin antagonist|granisetron,73,,
pulmonary|vascular disorders|CT scan|spiral CT,72,,
"gastrointestinal|radiology, diagnostic and procedures|angiography|cholangiogram",72,,
"gastrointestinal|radiology, diagnostic and procedures|ultrasonography|guidance for aspiration or drainage",72,,
infectious diseases|medications|antimycobacterial therapy|M avium complex|azithromycin,72,,
surgery|infection|cultures|surgical specimen,72,,
gastrointestinal|intravenous fluid administration|hypotonic fluid administration|half-normal saline solution,72,,
burns/trauma|burns|topical burn preparation|silver sulfadiazine,72,,
cardiovascular|myocardial ischemia / infarction|analgesics|PCA,72,,
surgery|wounds / temperature|antipyretics,72,,
surgery|nutrition|enteral feeds|enteral formula,72,,
renal|electrolyte correction|treatment of hyperphosphatemia,72,,
gastrointestinal|medications|anti-inflammatories|systemic glucocorticoid,72,,
burns/trauma|burns|topical burn preparation,72,,
surgery|pulmonary therapies|physiotherapy of chest,72,,
infectious diseases|medications|therapeutic antibacterials|quinolone|moxifloxacin,72,,
endocrine|electrolyte correction|treatment of hypernatremia|desmopressin,71,,
infectious diseases|procedures|ultrasonography|abdomen,71,,
neurologic|ICH/ cerebral infarct|angiogram|with cerebral angioplasty,71,,
cardiovascular|other therapies|antibacterials|aminoglycoside|tobramycin,71,,
renal|medications|n-acetylcysteine|for radiocontrast dye prophylaxis,71,,
transplant|medications|immunosuppressive therapy|thymoglobulin,71,,
renal|procedures/radiology|kidney stone procedure|with removal of ureteral calculus,70,,
cardiovascular|vascular disorders|anticoagulant administration|factor Xa inhibitor,70,,
renal|procedures/radiology|kidney stone procedure|with removal of kidney calculus,70,,
cardiovascular|cardiac surgery|implantation of RVAD,70,,
endocrine|adrenal disorders|mineralocorticoids,70,,
neurologic|ICH/ cerebral infarct|anticonvulsants|diazepam,70,,
neurologic|therapy for controlling cerebral perfusion pressure|mannitol|bolus .25-.5 gms/kg,69,,
surgery|GI therapies|stress ulcer treatment,69,,
oncology|medications|analgesics|oral analgesics,68,,
neurologic|neuromyopathy therapy|systemic glucocorticoid|stress doses,68,,
cardiovascular|myocardial ischemia / infarction|ACE inhibitor|enalapril|IV,68,,
surgery|pulmonary therapies|oxygen therapy (40% to 60%)|face mask,68,,
renal|intravenous fluid|Lactated Ringer's administration|aggressive volume resuscitation (>250 mls/hr),68,,
cardiovascular|arrhythmias|beta blocker|bisoprolol,68,,
"gastrointestinal|radiology, diagnostic and procedures|abscess drainage procedure|surgical",68,,
gastrointestinal|medications|diuretic|IV furosemide,67,,
"gastrointestinal|radiology, diagnostic and procedures|angiography|with stent placement",67,,
toxicology|drug overdose|agent specific therapy|beta blockers overdose|dopamine,66,,
gastrointestinal|endoscopy/gastric instrumentation|nasogastric tube|removal,66,,
endocrine|intravenous fluid administration|hypertonic saline administration,65,,
surgery|analgesics /sedatives/ nmbs|analgesics|transdermal analgesics,65,,
cardiovascular|myocardial ischemia / infarction|analgesics|non-narcotic analgesic|ketorolac,65,,
renal|procedures/radiology|pyelogram|retrograde,65,,
cardiovascular|hypertension|sedative agent|lorazepam,65,,
infectious diseases|medications|antifungal therapy|amphotericin B lipid-based,65,,
hematology|coagulation and platelets|antifibrinolytics|tranexamic acid,65,,
neurologic|ICH/ cerebral infarct|angiogram|with stenting,64,,
surgery|immunosuppressives|glucocorticoid administration,64,,
renal|electrolyte correction|treatment of hyperphosphatemia|aluminum-based antacid,64,,
cardiovascular|ventricular dysfunction|natriuretic peptide,64,,
gastrointestinal|medications|antidiarrhea agent,64,,
neurologic|seizure therapy|anticonvulsant|pentobarbital,64,,
burns/trauma|trauma|urine alkalinization|sodium bicarbonate,64,,
cardiovascular|non-operative procedures|cardiac angiography|with valvulotomy,64,,
renal|procedures/radiology|arteriovenous shunt for renal dialysis,64,,
infectious diseases|medications|IVIG administration,63,,
surgery|infection|therapeutic antibacterials|empiric antibacterial coverage,63,,
neurologic|ICH/ cerebral infarct|anticonvulsants|carbamazepine,63,,
infectious diseases|procedures|ultrasonography,63,,
cardiovascular|hypertension|sedative agent|midazolam,63,,
"gastrointestinal|radiology, diagnostic and procedures|angiography|venography",62,,
toxicology|drug overdose|Lactated Ringer's solution,62,,
pulmonary|ventilation and oxygenation|oxygen therapy (< 40%)|heliox,62,,
infectious diseases|medications|antiretrovirals (HIV)|nucleoside reverse transcriptase inhibitors|lamivudine (3TC),62,,
cardiovascular|intravenous fluid|hypotonic fluid administration|D5 Lactated Ringer's,62,,
surgery|cardiac therapies|nitroglycerin|sublingual,62,,
toxicology|drug overdose|vasopressors|norepinephrine > 0.1 micrograms/kg/min,62,,
oncology|procedures|nuclear bone scan,61,,
cardiovascular|other therapies|antibacterials|daptomycin,61,,
cardiovascular|arrhythmias|anticoagulant administration|thrombin inhibitor,61,,
surgery|intravenous fluids / electrolytes|colloid administration|hydroxyethylstarch,61,,
infectious diseases|procedures|surgical debridement|bedside,61,,
surgery|tubes and catheters|nephrostomy,61,,
surgery|pulmonary therapies|bronchodilator|beta-agonist,61,,
cardiovascular|non-operative procedures|non-cardiac angiography|renal arteriography,61,,
endocrine|pituitary and temperature regulation|treatment for hyperthermia|analgesic and antipyretic,61,,
cardiovascular|myocardial ischemia / infarction|ACE inhibitor|captopril,61,,
surgery|nutrition|feeding tube|PEG,60,enteral-nonspecific-intake,nutrition-enteral
toxicology|drug overdose|agent specific therapy|benzodiazepine overdose|flumazenil,60,,
surgery|cardiac therapies|intravenous diuretic,60,,
cardiovascular|non-operative procedures|cardiac nuclear study|for ventricular function,60,,
cardiovascular|myocardial ischemia / infarction|anticoagulant administration|thrombin inhibitor,60,,
toxicology|drug overdose|mechanical ventilation|tidal volume 6-10 ml/kg,60,,
oncology|procedures|MRI,60,,
pulmonary|medications|antifungal therapy|voriconazole,60,,
renal|procedures/radiology|pyelogram,60,,
surgery|pulmonary therapies|oxygen therapy (40% to 60%)|40-50%,59,,
endocrine|thyroid disorder|antithyroid therapy|propylthiouracil,59,,
surgery|pulmonary therapies|mechanical ventilation|synchronized intermittent,59,,
cardiovascular|vascular disorders|thrombolytic agent|tenecteplase,59,,
pulmonary|medications|inhaled medications for cystic fibrosis,59,,
neurologic|procedures / diagnostics|neurosurgery|ventricular shunt procedure|lumbar-peritoneal,59,,
neurologic|therapy for controlling cerebral perfusion pressure|mannitol|bolus > .5 gms/kg,59,,
surgery|intravenous fluids / electrolytes|mannitol,59,,
burns/trauma|trauma|focussed abdominal sonography,59,,
burns/trauma|trauma|special care bed,58,,
pulmonary|vascular disorders|anticoagulant administration|conventional heparin therapy|subcutaneous,58,,
surgery|tubes and catheters|feeding tube|surgically placed,58,,
surgery|infection|antifungal therapy,57,,
gastrointestinal|intravenous fluid administration|hypertonic saline administration,57,,
infectious diseases|medications|therapeutic antibacterials|first generation cephalosporin,57,,
hematology|white blood cell disorders|hematopoetic growth factors|sargramostim (Leukine ),57,,
pulmonary|medications|analgesics|non-narcotic analgesic,57,,
surgery|tubes and catheters|ureteral stenting,57,,
pulmonary|radiologic procedures / bronchoscopy|lung biopsy|percutaneous,57,,
transplant|consultations|Cardiac surgery consultation,57,,
gastrointestinal|intravenous fluid administration|colloid administration,57,,
infectious diseases|medications|antifungal therapy|for transplant,57,,
endocrine|electrolyte correction|treatment of hyperkalemia|intravenous diuretics,56,,
infectious diseases|medications|antiretrovirals (HIV)|protease inhibitors|ritonavir,56,,
burns/trauma|trauma|echocardiography|transthoracic,56,,
surgery|GI therapies|prokinetic agent|metoclopramide,55,,
"gastrointestinal|radiology, diagnostic and procedures|CT scan|spiral CT scan",55,,
hematology|oncological issues|systemic glucocorticoid|parenteral,55,,
surgery|GI therapies|stress ulcer treatment|proton pump inhibitor|pantoprazole oral,55,,
gastrointestinal|medications|antiemetic|phenothiazine,55,,
infectious diseases|medications|therapeutic antibacterials|second generation cephalosporin,55,,
cardiovascular|other therapies|systemic glucocorticoid|oral,55,,
cardiovascular|intravenous fluid|blood product administration|cryo-poor plasma,55,,
pulmonary|vascular disorders|anticoagulant administration|low molecular weight heparin,55,,
surgery|GI therapies|stress ulcer treatment|proton pump inhibitor,55,,
neurologic|ICH/ cerebral infarct|mannitol|bolus > .5 gms/kg,55,,
pulmonary|ventilation and oxygenation|oxygen therapy (< 40%)|face tent,55,,
gastrointestinal|intravenous fluid administration|Lactated Ringer's administration|moderate volume resuscitation (150-250 mls/hr),55,,
renal|intravenous fluid|blood product administration|platelet concentrate,55,,
endocrine|electrolyte correction|treatment of hyperkalemia|beta-agonist nebulized treatment,54,,
cardiovascular|ventricular dysfunction|oral diuretic|potassium sparing diuretic,54,,
"hematology|transplant and immunology|IVIG administration|immune serum globulin, human",54,,
cardiovascular|other therapies|antibacterials|monobactam|aztreonam,54,,
surgery|wounds / temperature|cooling the patient,54,,
hematology|coagulation and platelets|systemic glucocorticoid,54,,
cardiovascular|myocardial ischemia / infarction|inotropic agent|dopamine >15 micrograms/kg/min,54,,
surgery|glucose control|glucose|D5NS,53,,
cardiovascular|myocardial ischemia / infarction|angiotensin II receptor blocker (ARB)|olmesartan,53,,
surgery|intravenous fluids / electrolytes|Lactated Ringer's administration|moderate volume resuscitation (150-250 mls/hr),53,,
hematology|coagulation and platelets|anticoagulant administration|low molecular weight heparin,53,,
pulmonary|medications|vasodilator for pulmonary hypertension|treprostinil,53,,
infectious diseases|medications|therapeutic antibacterials|penicillins|oxacillin,53,,
endocrine|electrolyte correction|treatment of hyperkalemia|dialysis,52,,
infectious diseases|procedures|CT scan|head,52,,
cardiovascular|vascular disorders|angiography|pulmonary angiogram,52,,
pulmonary|radiologic procedures / bronchoscopy|lung biopsy|open,52,,
cardiovascular|hypertension|beta blocker|bisoprolol,52,,
neurologic|ICH/ cerebral infarct|thrombolytics|mechanical thrombolysis,52,,
infectious diseases|medications|pneumocystis therapy|prophylactic,52,,
neurologic|ICH/ cerebral infarct|anticoagulant administration|thrombin inhibitors|argatroban,52,,
surgery|intravenous fluids / electrolytes|heparin lock IV fluids,52,,
cardiovascular|hypertension|ACE inhibitor|quinapril,51,,
hematology|oncological issues|CT scan|abdomen,51,,
pulmonary|medications|antibacterials|carbapenem|ertapenem,51,,
cardiovascular|myocardial ischemia / infarction|anticoagulant administration|factor Xa inhibitor|fondaparinux,50,,
cardiovascular|ventricular dysfunction|nitroglycerin|oral,50,,
cardiovascular|myocardial ischemia / infarction|beta blocker|propranolol,50,,
surgery|infection|therapeutic antibacterials|penicillins|ampicillin/sulbactam,50,,
renal|electrolyte correction|treatment of hyponatremia|fluid restriction|1000-1500 ml,50,,
gastrointestinal|medications|diuretic|bumetanide,50,,
endocrine|electrolyte correction|treatment of hyponatremia|demeclocycline,50,,
pulmonary|surgery / incision and drainage of thorax|thoracoscopic procedure|bleb resection,50,,
transplant|consultations|Urology consultation,50,,
infectious diseases|medications|therapeutic antibacterials|quinolone|lomefloxacin,50,,
infectious diseases|medications|antifungal therapy|amphotericin B,49,,
neurologic|pain / agitation / altered mentation|sedative agent|etomidate,49,,
renal|dialysis|ultrafiltration (fluid removal only)|for acute renal failure,49,,
cardiovascular|myocardial ischemia / infarction|analgesics|continuous parenteral analgesics,49,,
surgery|glucose control|glucose,49,,
infectious diseases|medications|therapeutic antibacterials|aminoglycoside|amikacin,49,,
"gastrointestinal|radiology, diagnostic and procedures|disimpaction",49,,
hematology|oncological issues|systemic glucocorticoid,49,,
"infectious diseases|medications|IVIG administration|immune serum globulin, human",49,,
hematology|white blood cell disorders|plasmapheresis,49,,
transplant|consultations|Thoracic surgery consultation,49,,
transplant|consultations|Endocrinology consultation,49,,
infectious diseases|procedures|tissue biopsy,48,,
renal|procedures/radiology|kidney stone procedure|percutaneous,48,,
gastrointestinal|medications|antibiotics|macrolide,48,,
toxicology|drug overdose|agent specific therapy|calcium channel blockers overdose|insulin/dextrose,47,insulin,insulin/dextrose
neurologic|ICH/ cerebral infarct|thrombolytics|tenecteplase,47,,
infectious diseases|medications|systemic glucocorticoid|oral,47,,
cardiovascular|ventricular dysfunction|beta blocker|atenolol,47,,
surgery|tubes and catheters|nasogastric tube|removal,47,,
surgery|cardiac therapies|vasodilator|nifedipine,47,,
pulmonary|surgery / incision and drainage of thorax|thoracoscopic procedure|pleural biopsy,47,,
surgery|immunosuppressives|immunosuppressive therapy|tacrolimus,47,,
cardiovascular|vascular disorders|CT scan|spiral CT,47,,
infectious diseases|procedures|tissue biopsy|skin,47,,
gastrointestinal|medications|antiemetic|corticosteroids,46,,
cardiovascular|myocardial ischemia / infarction|beta blocker|esmolol,46,,
surgery|pulmonary therapies|oxygen therapy (> 60%)|>90%,46,,
